

"0089  MATERIAIS MDW LTDA
CNPJ: 48.386.085/0001-14
";"15/01/2026 15:01 Pág:0001"
"Período: 01/01/2025 a 31/12/2025"
"Balancete – Societário"
"Usuário: JANAINA"


"BALANCETE";"Valores expressos em Reais (R$)"

"Conta";"S";"Classificação";"Saldo Ant.";"Débito";"Crédito";"Saldo"
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";3029;"S";"3.2.03   CUSTO DAS MERCADORIAS VENDIDAS";0,00;;683.880,78;0,00;683.880,78;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";3030;"S";"3.2.03.001   CUSTO DAS MERCADORIAS VENDIDAS";0,00;;683.880,78;0,00;683.880,78;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";7988;;"3.2.03.001.014   Custo Mercadoria Vendida - Fardamentos";0,00;;76.047,24;0,00;76.047,24;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";7989;;"3.2.03.001.015   Custo Mercadoria Vendida - Cadernos e Materiais";0,00;;607.833,54;0,00;607.833,54;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4011;"S";"3.7   DESPESAS OPERACIONAIS";0,00;;101.005,92;1.144,81;99.861,11;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4326;"S";"3.7.03   DESPESAS ADMINISTRATIVAS";0,00;;100.269,09;1.144,81;99.124,28;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4327;"S";"3.7.03.001   DESPESAS COM PESSOAL";0,00;;55.429,29;1.054,47;54.374,82;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4328;;"3.7.03.001.001   Salários e Ordenados";0,00;;19.593,58;0,00;19.593,58;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4332;;"3.7.03.001.005   13º Salário";0,00;;4.651,71;0,00;4.651,71;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4333;;"3.7.03.001.006   Férias";0,00;;5.542,36;0,00;5.542,36;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4334;;"3.7.03.001.007   INSS";0,00;;10.202,23;812,06;9.390,17;


"0089  MATERIAIS MDW LTDA
CNPJ: 48.386.085/0001-14
";"15/01/2026 15:01 Pág:0006"
"Período: 01/01/2025 a 31/12/2025"
"Balancete – Societário"
"Usuário: JANAINA"


"BALANCETE";"Valores expressos em Reais (R$)"

"Conta";"S";"Classificação";"Saldo Ant.";"Débito";"Crédito";"Saldo"
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4335;;"3.7.03.001.008   FGTS";0,00;;2.320,41;242,41;2.078,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4336;;"3.7.03.001.009   Indenizações e Aviso Prévio";0,00;;6.490,78;0,00;6.490,78;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4339;;"3.7.03.001.012   Seguros de Empregados";0,00;;39,60;0,00;39,60;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4345;;"3.7.03.001.018   Ticket ou Vale-Alimentação/Refeição";0,00;;4.270,00;0,00;4.270,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4858;;"3.7.03.001.029   Hora Extra";0,00;;493,77;0,00;493,77;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";5270;;"3.7.03.001.033   Exames Medicos";0,00;;45,00;0,00;45,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";5284;;"3.7.03.001.034   GRRF";0,00;;1.636,85;0,00;1.636,85;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";5287;;"3.7.03.001.035   Plano Dentario";0,00;;143,00;0,00;143,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4452;"S";"3.7.03.009   DEPRECIAÇÕES E AMORTIZAÇÕES";0,00;;669,86;0,00;669,86;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4453;;"3.7.03.009.001   Depreciações";0,00;;669,86;0,00;669,86;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4475;"S";"3.7.03.011   UTILIDADES E SERVIÇOS";0,00;;218,45;0,00;218,45;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4478;;"3.7.03.011.003   Telecomunicações";0,00;;218,45;0,00;218,45;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4531;"S";"3.7.03.015   DESPESAS GERAIS";0,00;;43.951,49;90,34;43.861,15;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4534;;"3.7.03.015.003   Material de Expediente";0,00;;30,00;0,00;30,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4538;;"3.7.03.015.007   Honorários Contábeis";0,00;;32.466,00;0,00;32.466,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4545;;"3.7.03.015.014   Fretes e Carretos";0,00;;987,10;0,00;987,10;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4546;;"3.7.03.015.015   Lanches, Refeições, Copa e Cozinha";0,00;;227,74;0,00;227,74;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4550;;"3.7.03.015.019   Manutenção de Máquinas e Equipamentos";0,00;;500,00;0,00;500,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4557;;"3.7.03.015.026   Anuidades";0,00;;90,00;0,00;90,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4857;;"3.7.03.015.029   Material de Uso e Consumo";0,00;;740,04;90,34;649,70;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4862;;"3.7.03.015.030   Softwares";0,00;;8.008,61;0,00;8.008,61;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";5165;;"3.7.03.015.038   Material de Construção";0,00;;33,00;0,00;33,00;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";5231;;"3.7.03.015.040   Serviços Graficos";0,00;;680,00;0,00;680,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";5239;;"3.7.03.015.042   Certificado Digital";0,00;;189,00;0,00;189,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4654;"S";"3.7.09   DESPESAS TRIBUTÁRIAS";0,00;;533,83;0,00;533,83;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4655;"S";"3.7.09.001   CONTRIBUIÇÕES IMPOSTOS E TAXAS";0,00;;533,83;0,00;533,83;
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4658;;"3.7.09.001.003   Impostos Municipais";0,00;;533,83;0,00;533,83;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4695;"S";"3.7.11   DESPESAS FINANCEIRAS";0,00;;203,00;0,00;203,00;
"                                                                                                                                                                                                                                                "
"                                                                                                                                                                                                                                          ";"                                                                                                                                                                                                                                                ";4696;"S";"3.7.11.001   DESPESAS FINANCEIRAS";0,00;;203,00;0,00;203,00;
"                                                                                                                                                                                                                                                ";"                                                                                                                                                                                                                                          ";4698;;"3.7.11.001.002   Despesas Bancárias Diversas";0,00;;203,00;0,00;203,00;


"0089  MATERIAIS MDW LTDA
CNPJ: 48.386.085/0001-14
";"15/01/2026 15:01 Pág:0007"
"Período: 01/01/2025 a 31/12/2025"
"Balancete – Societário"
"Usuário: JANAINA"


"BALANCETE";"Valores expressos em Reais (R$)"

"Conta";"S";"Classificação";"Saldo Ant.";"Débito";"Crédito";"Saldo"







"";
"MATHEUS CARTAXO ELOY FIALHO";"Janaina Rodrigues de Lima"
"Sócio administrador";"CRC: 1-PB-008146/O-0 - Contador"
"CPF: 107.477.084-60";"CPF: 009.056.244-59"
"";
"";
